id,Dest,Dest_lon,Dest_lat,Origin,Origin_lon,Origin_lat
89,MCI,-94.7171,39.2992,SLC,-111.982,40.7862
90,CLE,-81.8339,41.4115,CLT,-80.946,35.2226
91,CLE,-81.8339,41.4115,IAD,-77.4484,38.9556
92,CLE,-81.8339,41.4115,TYS,-83.9889,35.8064
93,CMH,-82.8877,39.9974,CLE,-81.8339,41.4115
94,CLE,-81.8339,41.4115,PBI,-80.0889,26.6909
95,CLT,-80.946,35.2226,BNA,-86.6682,36.1342
96,IAD,-77.4484,38.9556,BNA,-86.6682,36.1342
97,IAD,-77.4484,38.9556,BOS,-71.0281,42.3717
98,CLT,-80.946,35.2226,BWI,-76.6745,39.1841
99,CMH,-82.8877,39.9974,CLT,-80.946,35.2226
100,IAD,-77.4484,38.9556,CLT,-80.946,35.2226
101,MCI,-94.7171,39.2992,CLT,-80.946,35.2226
102,MEM,-89.9823,35.047,CLT,-80.946,35.2226
103,ORF,-76.2154,36.8977,CLT,-80.946,35.2226
104,PWM,-70.3103,43.6475,CLT,-80.946,35.2226
105,SAV,-81.2133,32.1338,CLT,-80.946,35.2226
106,JAX,-81.676,30.4914,IAD,-77.4484,38.9556
107,MCI,-94.7171,39.2992,IAD,-77.4484,38.9556
108,ORF,-76.2154,36.8977,IAD,-77.4484,38.9556
109,PWM,-70.3103,43.6475,IAD,-77.4484,38.9556
110,SAV,-81.2133,32.1338,IAD,-77.4484,38.9556
111,PHX,-112.03,33.4376,MEM,-89.9823,35.047
112,JAX,-81.676,30.4914,CLT,-80.946,35.2226
113,LIT,-92.219,34.7278,CLT,-80.946,35.2226
114,ORF,-76.2154,36.8977,BOS,-71.0281,42.3717
115,BOS,-71.0281,42.3717,CMH,-82.8877,39.9974
116,SAV,-81.2133,32.1338,BOS,-71.0281,42.3717
117,BOS,-71.0281,42.3717,JAX,-81.676,30.4914
118,BWI,-76.6745,39.1841,BOS,-71.0281,42.3717
119,MCI,-94.7171,39.2992,CMH,-82.8877,39.9974
120,ELP,-106.393,31.7982,SLC,-111.982,40.7862
121,SLC,-111.982,40.7862,OMA,-95.8998,41.3
122,SJC,-121.926,37.3679,SLC,-111.982,40.7862
123,SAN,-117.195,32.7299,SLC,-111.982,40.7862
124,TUL,-95.8892,36.1877,SLC,-111.982,40.7862
125,CMH,-82.8877,39.9974,SLC,-111.982,40.7862
126,SLC,-111.982,40.7862,BNA,-86.6682,36.1342
127,CLE,-81.8339,41.4115,SLC,-111.982,40.7862
128,MCI,-94.7171,39.2992,MEM,-89.9823,35.047
129,OMA,-95.8998,41.3,CMH,-82.8877,39.9974
130,OMA,-95.8998,41.3,CLE,-81.8339,41.4115
131,SEA,-122.296,47.4405,IAD,-77.4484,38.9556
132,SAN,-117.195,32.7299,IAD,-77.4484,38.9556
133,IAD,-77.4484,38.9556,SJC,-121.926,37.3679
134,IAD,-77.4484,38.9556,PHX,-112.03,33.4376
