code,id,lon,lat
PIH,168,-112.588,42.9056
EKO,169,-115.78,40.829
SGU,170,-113.591,37.0973
PSC,171,-119.117,46.2592
BTM,172,-112.503,45.9544
SLE,173,-123.008,44.9104
IDA,174,-112.068,43.5147
HLN,175,-111.99,46.6104
FCA,176,-114.252,48.3075
MSO,177,-114.084,46.9192
GTF,178,-111.356,47.482
LWS,179,-117.011,46.3776
YKM,180,-120.54,46.5703
BZN,181,-111.157,45.7722
BIL,182,-108.537,45.8034
RDM,183,-121.162,44.2533
FAR,184,-96.8243,46.9195
JAC,185,-110.736,43.6034
IYK,186,-117.816,35.6606
SMX,187,-120.437,34.8888
OXR,188,-119.206,34.1984
IPL,189,-115.57,32.8332
MOD,190,-120.959,37.6319
PIA,191,-89.6909,40.6663
MLI,192,-90.5058,41.4539
GUC,193,-106.941,38.5356
AZO,194,-85.5563,42.2398
LNK,195,-96.7543,40.8461
BIS,196,-100.757,46.7745
RFD,197,-89.0955,42.2035
BLI,198,-122.532,48.7955
CDC,199,-113.092,37.6992
HNL,200,-157.919,21.3358
KOA,201,-156.039,19.7334
OGG,202,-156.441,20.8926
LIH,203,-159.351,21.9782
SJU,204,-66.0095,18.4367
ANC,205,-149.961,61.1767
PHF,206,-76.5026,37.1306
MLB,207,-80.6282,28.0957
STT,208,-64.9667,18.3333
DHN,209,-85.4487,31.3144
PFN,210,-85.6829,30.2071
TOL,211,-83.8072,41.5923
AGS,212,-81.9732,33.3735
FAY,213,-78.8889,34.9914
HHH,214,-80.6989,32.2267
EVV,215,-87.5308,38.0464
GNV,216,-82.277,29.6861
ABY,217,-84.1867,31.5328
FNT,218,-83.7411,42.9756
OAJ,219,-77.6053,34.8307
BQK,220,-81.4703,31.2525
SWF,221,-74.0974,41.4869
EWN,222,-77.0343,35.0786
MEI,223,-88.7449,32.3334
ILM,224,-77.912,34.2668
GTR,225,-88.5876,33.4516
LYH,226,-79.1944,37.3309
FSM,227,-94.4944,36.1881
EYW,228,-81.7551,24.5536
VLD,229,-83.2787,30.7892
CSG,230,-84.9401,32.5184
ACY,231,-74.5716,39.4512
MCN,232,-83.65,32.7023
CHO,233,-78.4487,38.14
TUP,234,-88.766,34.2662
FLO,235,-79.7289,34.1936
SCE,236,-77.851,40.8515
TYR,237,-95.4118,32.3506
LAW,238,-98.4135,34.573
SPS,239,-98.4984,33.9862
ABI,240,-99.6803,32.4164
GGG,241,-94.7194,32.3874
ACT,242,-97.2234,31.609
SJT,243,-100.507,31.3616
TXK,244,-93.9943,33.457
CMI,245,-88.2638,40.0367
ROW,246,-104.519,33.3071
RST,247,-92.4884,43.9101
MQT,248,-87.3871,46.3501
LSE,249,-91.2638,43.8751
DBQ,250,-90.7037,42.4047
GFK,251,-97.1762,47.9494
MOT,252,-101.291,48.2554
DLH,253,-92.1781,46.838
SUX,254,-96.3784,42.4012
PLN,255,-84.7857,45.571
BGM,256,-75.9825,42.2082
ERI,257,-80.1824,42.0829
ALO,258,-92.3951,42.5509
CMX,259,-88.4942,47.1689
RHI,260,-89.4626,45.626
ELM,261,-76.8973,42.1633
BQN,262,-67.1357,18.496
PSE,263,-66.5664,18.0116
STX,264,-64.7977,17.6988
