source,target,Dest,Origin
1,0,LAS,CLE
1,2,MCO,CLE
1,3,STL,CLE
4,0,LAS,DEN
4,2,MCO,DEN
4,5,PHX,DEN
4,6,SEA,DEN
4,7,SLC,DEN
4,8,TPA,DEN
9,2,MCO,DTW
9,5,PHX,DTW
9,3,STL,DTW
10,0,LAS,IAD
10,2,MCO,IAD
10,8,TPA,IAD
0,11,LAX,LAS
0,2,MCO,LAS
0,12,PDX,LAS
0,13,PHL,LAS
0,5,PHX,LAS
0,14,RDU,LAS
0,15,SAN,LAS
0,16,SAT,LAS
0,6,SEA,LAS
0,17,SFO,LAS
0,7,SLC,LAS
0,3,STL,LAS
0,8,TPA,LAS
11,5,PHX,LAX
11,16,SAT,LAX
11,17,SFO,LAX
11,7,SLC,LAX
11,3,STL,LAX
2,13,PHL,MCO
2,5,PHX,MCO
2,14,RDU,MCO
2,18,RSW,MCO
2,16,SAT,MCO
2,3,STL,MCO
12,5,PHX,PDX
12,7,SLC,PDX
13,5,PHX,PHL
13,14,RDU,PHL
13,18,RSW,PHL
13,8,TPA,PHL
5,14,RDU,PHX
5,15,SAN,PHX
5,16,SAT,PHX
5,6,SEA,PHX
5,7,SLC,PHX
5,3,STL,PHX
5,8,TPA,PHX
14,8,TPA,RDU
15,16,SAT,SAN
15,17,SFO,SAN
16,8,TPA,SAT
6,7,SLC,SEA
7,3,STL,SLC
3,8,TPA,STL
16,14,RDU,SAT
11,6,SEA,LAX
4,11,LAX,DEN
12,11,LAX,PDX
19,9,DTW,EWR
3,19,EWR,STL
21,20,CVG,IAH
21,22,ORD,IAH
1,23,DFW,CLE
19,24,MSP,EWR
23,21,IAH,DFW
1,10,IAD,CLE
21,25,MEM,IAH
5,21,IAH,PHX
24,21,IAH,MSP
7,21,IAH,SLC
14,19,EWR,RDU
1,26,LGA,CLE
1,22,ORD,CLE
14,21,IAH,RDU
21,3,STL,IAH
25,19,EWR,MEM
1,9,DTW,CLE
10,21,IAH,IAD
21,27,ATL,IAH
22,19,EWR,ORD
20,19,EWR,CVG
4,1,CLE,DEN
1,24,MSP,CLE
1,27,ATL,CLE
19,10,IAD,EWR
1,14,RDU,CLE
28,1,CLE,BOS
27,10,IAD,ATL
27,22,ORD,ATL
28,10,IAD,BOS
4,27,ATL,DEN
4,16,SAT,DEN
9,10,IAD,DTW
10,26,LGA,IAD
10,13,PHL,IAD
10,14,RDU,IAD
10,16,SAT,IAD
21,4,DEN,IAH
25,5,PHX,MEM
22,14,RDU,ORD
